ad_id,page_id,page_name,ad_snapshot_url,ad_creative_body,ad_creative_link_caption,ad_creative_link_description,ad_creative_link_title,ad_delivery_start_time,ad_delivery_stop_time,funding_entity,impressions_min,impressions_max,spend_min,spend_max,currency,ad_url,social_media_facebook,social_media_instagram,social_media_whatsapp,search_terms
347122640042114,286305325299682,Carlos D. Mesa Gisbert,https://www.facebook.com/ads/archive/render_ad/?id=347122640042114&access_token=EAAGOv4XxRSMBAMgODWqacWb9FOVQYylknqWIniLygZA7igWjRu4AghyuKuCT2jQlhlg9tYzZBkfmZA47ZB7A1FaCjrd1RZCytFqQm5IwP1EZBxcMY5OwCcJN6KDXP9Rc3dU8ZAcSrCu1E2bUuHg9tBx2Vl61xUS1laWWEcC1ZC8Cwkqb5jLCHOH3ZBNT9IbFIN8bYSexG06thgHKdaLiQwuJxCCgxXFDb3GSyp3hm7BChwLwaj0drh6ZAY,"La desesperación por la derrota reactiva la guerra de mentiras y distorsiones. NO voy a hacer una alianza con el MAS ni con Morales que representan lo que vamos a desechar de Bolivia: corrupción, abuso y violencia; por eso le inicié un juicio para que pague por el fraude del 2019",,,,2020-10-08,2020-10-14,FRI,900000,999999.0,1000,1499,USD,https://www.facebook.com/ads/library/?id=347122640042114,facebook,instagram,,286305325299682
396751911317870,286305325299682,Carlos D. Mesa Gisbert,https://www.facebook.com/ads/archive/render_ad/?id=396751911317870&access_token=EAAGOv4XxRSMBAMgODWqacWb9FOVQYylknqWIniLygZA7igWjRu4AghyuKuCT2jQlhlg9tYzZBkfmZA47ZB7A1FaCjrd1RZCytFqQm5IwP1EZBxcMY5OwCcJN6KDXP9Rc3dU8ZAcSrCu1E2bUuHg9tBx2Vl61xUS1laWWEcC1ZC8Cwkqb5jLCHOH3ZBNT9IbFIN8bYSexG06thgHKdaLiQwuJxCCgxXFDb3GSyp3hm7BChwLwaj0drh6ZAY,"No hay posibilidad de acercamiento con el MAS porque ellos no creen en la democracia. 
Repito #NeverInTheLife",,,,2020-10-08,2020-10-14,FRI,1000000,,1000,1499,USD,https://www.facebook.com/ads/library/?id=396751911317870,facebook,instagram,,286305325299682
3551304328266928,286305325299682,Carlos D. Mesa Gisbert,https://www.facebook.com/ads/archive/render_ad/?id=3551304328266928&access_token=EAAGOv4XxRSMBAMgODWqacWb9FOVQYylknqWIniLygZA7igWjRu4AghyuKuCT2jQlhlg9tYzZBkfmZA47ZB7A1FaCjrd1RZCytFqQm5IwP1EZBxcMY5OwCcJN6KDXP9Rc3dU8ZAcSrCu1E2bUuHg9tBx2Vl61xUS1laWWEcC1ZC8Cwkqb5jLCHOH3ZBNT9IbFIN8bYSexG06thgHKdaLiQwuJxCCgxXFDb3GSyp3hm7BChwLwaj0drh6ZAY,En Comunidad Ciudadana tenemos soluciones para mejorar el sistema de salud y salvar los empleos. #PrimeroLaGente,,,,2020-10-07,2020-10-14,FRI,300000,349999.0,700,799,USD,https://www.facebook.com/ads/library/?id=3551304328266928,facebook,instagram,,286305325299682
973809723096719,286305325299682,Carlos D. Mesa Gisbert,https://www.facebook.com/ads/archive/render_ad/?id=973809723096719&access_token=EAAGOv4XxRSMBAMgODWqacWb9FOVQYylknqWIniLygZA7igWjRu4AghyuKuCT2jQlhlg9tYzZBkfmZA47ZB7A1FaCjrd1RZCytFqQm5IwP1EZBxcMY5OwCcJN6KDXP9Rc3dU8ZAcSrCu1E2bUuHg9tBx2Vl61xUS1laWWEcC1ZC8Cwkqb5jLCHOH3ZBNT9IbFIN8bYSexG06thgHKdaLiQwuJxCCgxXFDb3GSyp3hm7BChwLwaj0drh6ZAY,En Comunidad Ciudadana tenemos soluciones para mejorar el sistema de salud y salvar los empleos. #PrimeroLaGente,,,,2020-10-07,2020-10-14,FRI,450000,499999.0,700,799,USD,https://www.facebook.com/ads/library/?id=973809723096719,facebook,instagram,,286305325299682
344744226739733,286305325299682,Carlos D. Mesa Gisbert,https://www.facebook.com/ads/archive/render_ad/?id=344744226739733&access_token=EAAGOv4XxRSMBAMgODWqacWb9FOVQYylknqWIniLygZA7igWjRu4AghyuKuCT2jQlhlg9tYzZBkfmZA47ZB7A1FaCjrd1RZCytFqQm5IwP1EZBxcMY5OwCcJN6KDXP9Rc3dU8ZAcSrCu1E2bUuHg9tBx2Vl61xUS1laWWEcC1ZC8Cwkqb5jLCHOH3ZBNT9IbFIN8bYSexG06thgHKdaLiQwuJxCCgxXFDb3GSyp3hm7BChwLwaj0drh6ZAY,En Comunidad Ciudadana tenemos soluciones para mejorar el sistema de salud y salvar los empleos. #PrimeroLaGente,,,,2020-10-07,2020-10-14,FRI,300000,349999.0,600,699,USD,https://www.facebook.com/ads/library/?id=344744226739733,facebook,instagram,,286305325299682
816380742467285,286305325299682,Carlos D. Mesa Gisbert,https://www.facebook.com/ads/archive/render_ad/?id=816380742467285&access_token=EAAGOv4XxRSMBAMgODWqacWb9FOVQYylknqWIniLygZA7igWjRu4AghyuKuCT2jQlhlg9tYzZBkfmZA47ZB7A1FaCjrd1RZCytFqQm5IwP1EZBxcMY5OwCcJN6KDXP9Rc3dU8ZAcSrCu1E2bUuHg9tBx2Vl61xUS1laWWEcC1ZC8Cwkqb5jLCHOH3ZBNT9IbFIN8bYSexG06thgHKdaLiQwuJxCCgxXFDb3GSyp3hm7BChwLwaj0drh6ZAY,En Comunidad Ciudadana tenemos soluciones para mejorar el sistema de salud y salvar los empleos. #PrimeroLaGente,,,,2020-10-07,2020-10-14,FRI,40000,44999.0,0,99,USD,https://www.facebook.com/ads/library/?id=816380742467285,facebook,instagram,,286305325299682
626631144884200,286305325299682,Carlos D. Mesa Gisbert,https://www.facebook.com/ads/archive/render_ad/?id=626631144884200&access_token=EAAGOv4XxRSMBAMgODWqacWb9FOVQYylknqWIniLygZA7igWjRu4AghyuKuCT2jQlhlg9tYzZBkfmZA47ZB7A1FaCjrd1RZCytFqQm5IwP1EZBxcMY5OwCcJN6KDXP9Rc3dU8ZAcSrCu1E2bUuHg9tBx2Vl61xUS1laWWEcC1ZC8Cwkqb5jLCHOH3ZBNT9IbFIN8bYSexG06thgHKdaLiQwuJxCCgxXFDb3GSyp3hm7BChwLwaj0drh6ZAY,En Comunidad Ciudadana tenemos soluciones para mejorar el sistema de salud y salvar los empleos. #PrimeroLaGente,,,,2020-10-07,2020-10-14,FRI,70000,79999.0,0,99,USD,https://www.facebook.com/ads/library/?id=626631144884200,facebook,instagram,,286305325299682
335939227476482,286305325299682,Carlos D. Mesa Gisbert,https://www.facebook.com/ads/archive/render_ad/?id=335939227476482&access_token=EAAGOv4XxRSMBAMgODWqacWb9FOVQYylknqWIniLygZA7igWjRu4AghyuKuCT2jQlhlg9tYzZBkfmZA47ZB7A1FaCjrd1RZCytFqQm5IwP1EZBxcMY5OwCcJN6KDXP9Rc3dU8ZAcSrCu1E2bUuHg9tBx2Vl61xUS1laWWEcC1ZC8Cwkqb5jLCHOH3ZBNT9IbFIN8bYSexG06thgHKdaLiQwuJxCCgxXFDb3GSyp3hm7BChwLwaj0drh6ZAY,En Comunidad Ciudadana tenemos soluciones para mejorar el sistema de salud y salvar los empleos. #PrimeroLaGente,,,,2020-10-07,2020-10-14,FRI,70000,79999.0,100,199,USD,https://www.facebook.com/ads/library/?id=335939227476482,facebook,instagram,,286305325299682
748196072705524,286305325299682,Carlos D. Mesa Gisbert,https://www.facebook.com/ads/archive/render_ad/?id=748196072705524&access_token=EAAGOv4XxRSMBAMgODWqacWb9FOVQYylknqWIniLygZA7igWjRu4AghyuKuCT2jQlhlg9tYzZBkfmZA47ZB7A1FaCjrd1RZCytFqQm5IwP1EZBxcMY5OwCcJN6KDXP9Rc3dU8ZAcSrCu1E2bUuHg9tBx2Vl61xUS1laWWEcC1ZC8Cwkqb5jLCHOH3ZBNT9IbFIN8bYSexG06thgHKdaLiQwuJxCCgxXFDb3GSyp3hm7BChwLwaj0drh6ZAY,En Comunidad Ciudadana tenemos soluciones para mejorar el sistema de salud y salvar los empleos. #PrimeroLaGente,,,,2020-10-07,2020-10-14,FRI,50000,59999.0,0,99,USD,https://www.facebook.com/ads/library/?id=748196072705524,facebook,instagram,,286305325299682
812253606189635,286305325299682,Carlos D. Mesa Gisbert,https://www.facebook.com/ads/archive/render_ad/?id=812253606189635&access_token=EAAGOv4XxRSMBAMgODWqacWb9FOVQYylknqWIniLygZA7igWjRu4AghyuKuCT2jQlhlg9tYzZBkfmZA47ZB7A1FaCjrd1RZCytFqQm5IwP1EZBxcMY5OwCcJN6KDXP9Rc3dU8ZAcSrCu1E2bUuHg9tBx2Vl61xUS1laWWEcC1ZC8Cwkqb5jLCHOH3ZBNT9IbFIN8bYSexG06thgHKdaLiQwuJxCCgxXFDb3GSyp3hm7BChwLwaj0drh6ZAY,En Comunidad Ciudadana tenemos soluciones para mejorar el sistema de salud y salvar los empleos. #PrimeroLaGente,,,,2020-10-07,2020-10-14,FRI,50000,59999.0,0,99,USD,https://www.facebook.com/ads/library/?id=812253606189635,facebook,instagram,,286305325299682
